chunk,loss,macro_f1,runtime_s,mem_peak_mb
0,0.1,0.16880187273888062,0.4237806797027588,0.9845342636108398
1,0.1,0.38316498316498315,0.40727663040161133,1.116347312927246
2,0.1,0.4645784832451499,0.3857762813568115,1.2156810760498047
3,0.1,0.45958333333333334,0.38317441940307617,1.2310171127319336
4,0.1,0.4219047619047619,0.3753526210784912,1.3110857009887695
5,0.1,0.3986864283638477,0.40842533111572266,1.3454761505126953
6,0.1,0.4080440017940018,0.37285351753234863,1.429891586303711
7,0.1,0.4131922131922132,0.3796665668487549,1.4358100891113281
8,0.1,0.4080124887190105,0.3862464427947998,1.510427474975586
9,0.1,0.397878074375319,0.37401604652404785,1.5396251678466797
10,0.1,0.42203451178451185,0.38321566581726074,1.6330795288085938
11,0.1,0.4172950890916992,0.4008142948150635,1.6531038284301758
12,0.1,0.3996816059757236,0.44317054748535156,1.747406005859375
13,0.1,0.3672570077676461,0.42096662521362305,1.7560157775878906
14,0.1,0.3672570077676461,0.4338653087615967,1.8174171447753906
15,0.1,0.3477351598173516,0.3936011791229248,1.8896875381469727
16,0.1,0.343289972899729,0.3977634906768799,1.8896875381469727
17,0.1,0.3468780169602087,0.39376282691955566,1.950429916381836
18,0.1,0.3424328300425861,0.39925384521484375,1.950429916381836
19,0.1,0.3373311086028365,0.4056384563446045,2.0021257400512695
