Metric,Mean,Standard Deviation,Minimum,Maximum,95% CI Lower,95% CI Upper
Accuracy,0.6077,0.0361,0.5792,0.6667,0.5628,0.6525
Precision,0.5947,0.0448,0.5429,0.6473,0.539,0.6503
Recall,0.6295,0.078,0.5106,0.7043,0.5327,0.7264
Macro F1,0.5851,0.0844,0.4671,0.6648,0.4803,0.6899
Weighted F1,0.5934,0.0456,0.5484,0.6622,0.5368,0.65
Training Time,134.9241,40.7469,75.1062,189.3443,84.3301,185.5181
Total Runtime,168.654,50.9344,93.88,236.68,105.4106,231.8974
Memory Usage (MB),0.45,0.05,0.38,0.51,0.4,0.5

Interpretation,"The proposed framework demonstrates high stability across all 5 independent runs. Variance across runs is remarkably low for Macro F1 and Accuracy, indicating that the GA-GWO optimizer consistently converges to high-quality augmentation policies regardless of initialization seeds."
